,Safety Index,Health Care Index,Cost of Living Index,Pollution Index,Year,City
674,64.21508034610629,55.36463798530956,68.90366281986954,82.0111569948562,2017,"Montreal, Canada"
675,60.618046971569825,64.8871983210913,61.308329152032115,74.94023038469898,2014,"Montreal, Canada"
676,62.31149567367119,60.794858342077646,62.63798294029101,78.85242338622038,2015,"Montreal, Canada"
677,71.495673671199,66.60545645330537,51.07877571500251,62.848656089255954,2012,"Montreal, Canada"
678,60.45735475896167,53.593913955928656,74.84320120421475,79.44649713830327,2016,"Montreal, Canada"
679,68.39307787391841,61.713011542497384,58.191169091821365,72.2958777077447,2013,"Montreal, Canada"
680,68.12113720642769,56.09916054564535,74.35398896136478,82.22850105049628,2019,"Montreal, Canada"
681,66.20519159456117,56.00734522560337,70.1455092824887,80.46801419981163,2018,"Montreal, Canada"
682,51.47095179233621,49.34417628541449,83.54867034621174,59.85655292327754,2017,"Moscow, Russia"
683,50.111248454882556,47.28488982161596,85.7313095835424,59.37839600086937,2016,"Moscow, Russia"
684,50.655129789864034,49.44910807974817,81.03361766181635,60.31297544012171,2018,"Moscow, Russia"
685,42.38566131025957,23.64900314795383,59.11314601103864,20.930232558139537,2012,"Moscow, Russia"
686,40.55624227441285,38.09024134312696,66.08755644756647,46.308773455046,2015,"Moscow, Russia"
687,41.74289245982695,29.616998950682056,62.368289011540384,43.23697746866623,2013,"Moscow, Russia"
688,41.310259579728054,36.38509968520462,67.16006021073758,43.20799826124755,2014,"Moscow, Russia"
689,56.18046971569839,49.93441762854145,87.53135975915704,60.98674201260595,2019,"Moscow, Russia"
690,64.79604449938194,53.20041972717735,89.70145509282489,14.851843802072011,2012,"Mumbai, India"
691,48.393077873918415,57.22717733473243,94.59357752132463,41.983626747808444,2017,"Mumbai, India"
692,52.459826946847954,58.997901364113346,93.09458103361766,42.99065420560748,2018,"Mumbai, India"
693,46.84796044499381,54.039874081846804,94.2548921224285,38.23806418894443,2015,"Mumbai, India"
694,55.72311495673671,57.89611752360966,93.8785750125439,38.252553792653764,2014,"Mumbai, India"
695,44.46229913473423,54.813746065057714,95.3901154039137,40.4839527638919,2016,"Mumbai, India"
696,64.68479604449938,50.7476390346275,91.2819869543402,35.55024270086213,2013,"Mumbai, India"
697,54.635352286773795,63.129590766002096,95.3273958855996,44.758385858146774,2019,"Mumbai, India"
698,86.50185414091469,79.93179433368311,67.51756146512794,89.4153444903282,2019,"Munich, Germany"
699,85.92088998763904,84.11594963273872,60.36126442548921,91.85684271535173,2018,"Munich, Germany"
700,89.39431396786155,92.95645330535154,60.75012543903662,89.60370933854959,2015,"Munich, Germany"
701,88.52904820766376,90.12329485834209,50.7024586051179,90.13257987394044,2013,"Munich, Germany"
702,88.05933250927069,82.64690451206717,68.48971399899649,92.79142215460406,2017,"Munich, Germany"
703,88.03461063040791,83.76180482686254,68.90366281986954,92.48714047670796,2016,"Munich, Germany"
704,72.96662546353521,53.22665267576076,81.42247867536376,73.97667173802796,2018,"Muscat, Oman"
705,77.16934487021013,51.46904512067157,82.85248369292523,76.76592045207563,2019,"Muscat, Oman"
706,76.39060568603213,50.367261280167895,79.4279979929754,69.60081141780772,2017,"Muscat, Oman"
707,24.103831891223727,56.37460650577127,79.45308580030105,54.92284286024777,2015,"Nairobi, Kenya"
708,28.51668726823238,51.101783840503685,86.94179628700451,51.63370281822792,2017,"Nairobi, Kenya"
709,36.45241038318912,49.58027282266528,87.16131460110387,49.50373107295515,2019,"Nairobi, Kenya"
710,33.399258343634116,52.30849947534104,87.15504264927245,48.45323480402811,2018,"Nairobi, Kenya"
711,48.207663782447455,55.52203567681008,71.19919719016558,75.96899224806202,2019,"Nashville, TN, United States"
712,44.585908529048204,49.34417628541449,50.81535373808329,60.943273201477936,2016,"New York, NY, United States"
713,49.2088998763906,34.79800629590767,50.81535373808329,67.14482358907483,2015,"New York, NY, United States"
714,56.84796044499382,57.935466946484794,50.81535373808329,55.90813591248279,2012,"New York, NY, United States"
715,50.889987639060564,46.03882476390348,50.81535373808329,67.77512135043106,2014,"New York, NY, United States"
716,52.262051915945605,57.43704092339979,50.81535373808329,65.05832065493009,2018,"New York, NY, United States"
717,48.98640296662546,41.539874081846804,50.81535373808329,67.94175179308846,2013,"New York, NY, United States"
718,48.62793572311496,59.47009443861491,50.81535373808329,62.4139679779758,2017,"New York, NY, United States"
719,52.83065512978986,57.41080797481638,50.81535373808329,64.05853799898573,2019,"New York, NY, United States"
720,71.23609394313968,39.257607555089194,72.9867034621174,61.464898935014126,2019,"Nicosia, Cyprus"
721,77.46600741656364,84.15529905561385,89.34395383843452,81.90248496703614,2019,"Nizhny Novgorod, Russia"
722,55.20395550061805,35.44071353620147,91.73356748620171,71.06426139245092,2019,"Novi Sad, Serbia"
723,52.954264524103834,42.156348373557194,89.13697942799799,74.96196479026298,2018,"Novi Sad, Serbia"
724,51.841779975278115,36.24081846799581,92.04089312594078,75.23726726074042,2017,"Novi Sad, Serbia"
725,45.7601977750309,39.11332633788038,92.68690416457602,77.34550460044917,2016,"Novi Sad, Serbia"
726,51.928306551297894,51.71825813221406,93.40190667335675,53.08266318916177,2019,"Novosibirsk, Russia"
727,28.244746600741657,79.59076600209866,60.69994982438534,80.93892632036514,2019,"Oakland, CA, United States"
728,42.509270704573545,44.818992654774405,95.18941294530858,57.05281460552054,2019,"Odessa, Ukraine"
729,38.87515451174289,59.78488982161595,70.02007024586051,80.569441425777,2019,"Orlando, FL, United States"
730,37.40420271940667,55.194123819517316,65.4729051680883,78.93936100847642,2018,"Orlando, FL, United States"
731,39.542645241038315,58.368310598111236,63.65403913697942,78.06273998406144,2017,"Orlando, FL, United States"
732,56.007416563658836,70.46169989506821,24.962368289011522,83.61950300659277,2014,"Oslo, Norway"
733,60.03708281829418,70.44858342077652,49.62368289011539,87.79250887488227,2019,"Oslo, Norway"
734,47.16934487021013,66.33001049317946,46.46889111891619,87.50996160255016,2017,"Oslo, Norway"
735,63.57231149567366,89.80849947534104,12.029603612644237,83.87307107150619,2013,"Oslo, Norway"
736,58.15822002472187,70.26495278069257,41.169091821374806,85.0974425849453,2015,"Oslo, Norway"
737,53.0902348578492,69.58289611752362,40.00878073256396,87.79250887488227,2018,"Oslo, Norway"
738,60.48207663782446,65.97586568730325,53.33667837431008,87.2201695283634,2016,"Oslo, Norway"
739,77.30531520395549,71.9569779643232,72.64801806322127,92.42193726001594,2019,"Ottawa, Canada"
740,79.44375772558713,68.90083945435468,73.5511791269443,90.8280808519887,2016,"Ottawa, Canada"
741,77.88627935723113,69.6878279118573,69.68765679879579,95.52271245381439,2018,"Ottawa, Canada"
742,77.93572311495673,64.16579223504723,59.502007024586035,89.14004201985075,2014,"Ottawa, Canada"
743,79.9629171817058,64.65110178384052,70.59708981435023,93.99405926247917,2017,"Ottawa, Canada"
744,76.79851668726822,62.86726128016791,63.44079277471148,92.32051003405057,2015,"Ottawa, Canada"
745,47.725587144622985,49.63273871983212,77.64049172102358,56.190683184814894,2018,"Panama City, Panama"
746,51.001236093943135,52.190451206715636,79.30883090817862,59.62471926392813,2019,"Panama City, Panama"
747,50.54388133498145,50.091815320041974,73.25012543903662,57.90045642251684,2017,"Panama City, Panama"
748,43.189122373300364,72.27177334732424,60.68113396889112,56.35731362747229,2019,"Paris, France"
749,40.65512978986403,72.24554039874083,62.34947315604616,58.50177497645439,2016,"Paris, France"
750,39.62917181705809,80.0367261280168,51.05995985950827,57.48750271680069,2015,"Paris, France"
751,41.050679851668725,83.43389296956978,38.89237330657299,63.31232340795479,2013,"Paris, France"
752,42.459826946847954,83.43389296956978,37.844957350727526,60.153589799318986,2014,"Paris, France"
753,48.64029666254635,69.77964323189927,38.465880582037116,51.67717162935593,2012,"Paris, France"
754,42.039555006180464,70.00262329485835,55.28725539387857,57.23393465188727,2018,"Paris, France"
755,42.286773794808404,69.50419727177335,61.35223281485197,55.81395348837209,2017,"Paris, France"
756,53.74536464771323,72.44228751311648,38.34044154540892,90.18329348692313,2014,"Perth, Australia"
757,51.74289245982693,67.90398740818469,59.765429001505254,85.24233862203869,2017,"Perth, Australia"
758,48.76390605686032,65.92339979013643,60.173105870546905,83.55429978990074,2016,"Perth, Australia"
759,45.673671199011125,79.80062959076602,26.373557451078767,87.56067521553285,2013,"Perth, Australia"
760,53.51050679851667,75.30167890870935,67.3670346211741,87.40128957473013,2019,"Perth, Australia"
761,44.140914709517915,88.30010493179435,24.36026091319617,94.54466420343404,2012,"Perth, Australia"
762,53.189122373300364,73.50472193074503,59.44555945810336,85.9450844019416,2018,"Perth, Australia"
763,52.80593325092707,63.116474291710404,45.17686904164576,87.61138882851554,2015,"Perth, Australia"
764,35.68603213844251,69.28121720881428,63.240090316106375,67.86930377454176,2019,"Philadelphia, PA, United States"
765,25.809641532756487,51.37722980062961,57.98419468138485,68.14460624501919,2015,"Philadelphia, PA, United States"
766,34.449938195302835,65.81846799580275,59.376567987957856,68.55031514888067,2017,"Philadelphia, PA, United States"
767,22.71940667490729,45.1862539349423,55.055193176116404,59.19727595450264,2013,"Philadelphia, PA, United States"
768,35.14215080346106,68.63850996852047,61.189162067235316,69.47040498442368,2018,"Philadelphia, PA, United States"
769,27.972805933250925,61.77859391395593,61.12017059708981,68.02868941534449,2016,"Philadelphia, PA, United States"
770,37.36711990111248,64.96589716684156,71.5943301555444,59.074114322973266,2018,"Phoenix, AZ, United States"
771,41.372064276885034,61.73924449108081,72.21525338685399,60.91429399405926,2019,"Phoenix, AZ, United States"
772,39.11001236093943,58.39454354669465,68.18866031108881,56.06027675143084,2015,"Phoenix, AZ, United States"
773,37.20642768850432,70.02885624344177,70.2082288008028,60.32746504383105,2017,"Phoenix, AZ, United States"
774,34.49938195302843,61.424449108079756,69.10436527847466,56.27037600521626,2016,"Phoenix, AZ, United States"
775,62.978986402966626,72.3373557187828,66.62694430506772,73.83177570093457,2019,"Pittsburgh, PA, United States"
776,51.58220024721879,66.35624344176287,66.539136979428,85.7132507425922,2019,"Portland, OR, United States"
777,48.77626699629171,47.50786988457503,63.33416959357751,89.79207418677099,2016,"Portland, OR, United States"
778,53.00370828182942,66.86778593913958,62.982940291018565,89.12555241614142,2017,"Portland, OR, United States"
779,52.59579728059332,61.16211962224554,64.3314099347717,86.14069405201768,2018,"Portland, OR, United States"
780,11.025957972805934,54.315320041972726,86.95434019066732,62.928348909657316,2019,"Porto Alegre, Brazil"
781,12.3114956736712,47.822665267576085,80.42523833416959,62.26907194088242,2017,"Porto Alegre, Brazil"
782,12.224969097651421,49.65897166841553,79.7415955845459,63.7107875099616,2018,"Porto Alegre, Brazil"
783,14.647713226205191,34.61437565582372,79.13321625689915,57.94392523364486,2015,"Porto Alegre, Brazil"
784,13.559950556242274,41.99895068205667,87.4372804816859,58.18300369484894,2016,"Porto Alegre, Brazil"
785,56.242274412855366,70.86831059811124,81.56046161565479,78.71477215098167,2019,"Porto, Portugal"
786,58.405438813349804,64.86096537250788,71.71349724034118,77.15713975222778,2014,"Porto, Portugal"
787,64.51174289245982,76.8756558237146,67.2415955845459,61.493878142432806,2012,"Porto, Portugal"
788,53.27564894932014,72.94071353620147,82.97792272955343,76.05592987031804,2017,"Porto, Portugal"
